Title,Video ID,Duration,Views,Published At,duration_readable,duration_min,duration_minutes,months_since_release,views_por_mes
Integrais: aulão de revisão,B93pN0SoW9U,PT1H20M18S,436,2022-12-09 10:55:56+00:00,80:18,80.3,0,34,13
Revisão: aplicações de derivadas,VBxjuhgL9Q8,PT1H41M5S,289,2022-11-26 06:16:58+00:00,101:05,101.08333333333331,0,35,8
Derivação Implícita,zgVG2_NO7xQ,PT1H25M2S,265,2022-10-19 11:48:27+00:00,85:02,85.03333333333333,0,36,7
Série de Fourier: Exercícios resolvido,CXmdFSyA4kU,PT1H32M51S,1184,2022-10-19 10:45:01+00:00,92:51,92.85,0,36,33
Série de Fourier,m1xQzV0KpMM,PT1H26M13S,428,2022-10-15 08:53:55+00:00,86:13,86.21666666666667,0,36,12
Cálculo - Regra da Cadeia,rPZsagRth8Y,PT1H25M2S,336,2022-10-15 06:04:58+00:00,85:02,85.03333333333333,0,36,9
Regra da Cadeia - Exercícios Resolvidos VII,hvlMF67UhPg,PT6M36S,67,2022-10-14 11:00:27+00:00,6:36,6.6,0,36,2
Regra da Cadeia - Exercícios Resolvidos VI,bSVSk3-SEOk,PT5M59S,44,2022-10-13 21:00:23+00:00,5:59,5.983333333333333,0,36,1
Regra da Cadeia - Exercícios Resolvidos V,SHz24u3Lm30,PT4M7S,34,2022-10-13 15:00:14+00:00,4:07,4.116666666666666,0,36,1
Regra da Cadeia - Exercícios Resolvidos IV,2xV6rmJSTJI,PT4M36S,33,2022-10-13 11:00:01+00:00,4:36,4.6,0,36,1
Regra da Cadeia - Exercícios Resolvidos III,_LwcnZ1oRTg,PT4M21S,31,2022-10-12 21:00:14+00:00,4:21,4.35,0,36,1
Regra da Cadeia - Exercícios Resolvidos II,z_fJiDlQcVg,PT7M35S,38,2022-10-12 15:00:44+00:00,7:35,7.583333333333333,0,36,1
Regra da Cadeia - Exercícios Resolvidos I,Td1wHBdGQlU,PT4M19S,47,2022-10-12 11:00:17+00:00,4:19,4.316666666666666,0,36,1
"Sequências, Séries e Séries de funções",wI7E27WeThs,PT2H24M20S,555,2022-09-24 09:52:35+00:00,144:20,144.33333333333334,0,37,15
Exercício resolvido: derivada e o crescimento da função,tzC1jfIvSao,PT3M55S,81,2022-09-16 09:22:15+00:00,3:55,3.9166666666666665,0,37,2
Exercício resolvido: Fermat encontrava máximos e mínimos antes da invenção do cálculo!,DlWht3wTnlk,PT6M11S,129,2022-09-16 08:53:48+00:00,6:11,6.183333333333334,0,37,3
Derivada e o problema da tangente,Lmvnd46Fbac,PT12M48S,136,2022-09-12 19:08:13+00:00,12:48,12.8,0,37,4
Cálculo  aula 1 | O problema da área,wp_lMpqnrdI,PT15M14S,592,2022-09-02 12:54:16+00:00,15:14,15.233333333333333,0,37,16
Exercício cálculo 1 - Cálculo de área com método da exaustão,zrORhTQ5CZ0,PT19M6S,419,2022-09-02 12:55:18+00:00,19:06,19.1,0,37,11
Teorema de Stokes e Teorema do Divergente,_yCPYkvKUPI,PT1H50M10S,375,2022-03-11 11:59:32+00:00,110:10,110.16666666666669,0,43,9
Integral de superfície vetorial,dYaMETZP7ks,PT1H13M42S,230,2022-03-08 12:20:55+00:00,73:42,73.7,0,43,5
Clusterização de dados | Aplicações,F5xXTXTKzFg,PT12M40S,707,2022-02-18 17:43:41+00:00,12:40,12.666666666666666,0,44,16
Introdução ao problema de dados faltantes | Imputação de dados | Data Science,0TIzjE40eZo,PT10M17S,922,2022-02-16 22:32:52+00:00,10:17,10.283333333333331,0,44,21
Campos conservativos e Teorema de Green,cJbv3ZNlzeg,PT1H4M12S,251,2022-02-15 12:06:55+00:00,64:12,64.2,0,44,6
Gradiente Descendente | Machine Learning,5o24RyAVmZM,PT13M38S,740,2022-02-03 10:55:53+00:00,13:38,13.633333333333333,0,44,17
Integral de linha,ipvo0kKPdCA,PT1H19M40S,292,2022-02-01 12:48:25+00:00,79:40,79.66666666666667,0,44,7
"Acurácia, precisão e revocação | Matriz de confusão",Edzs9FQL5k0,PT17M12S,1436,2022-01-28 17:13:01+00:00,17:12,17.2,0,45,32
Aulão: Integrais duplas e triplas,dCQ8jTB33UA,PT2H18M13S,470,2021-12-07 00:30:08+00:00,138:13,138.21666666666667,0,46,10
Introdução ao pandas no python - pandas series,V8878xE83b0,PT23M38S,209,2021-11-30 20:34:10+00:00,23:38,23.633333333333333,0,47,4
Machine Learning tutorial - prática,zIufuAzNVSQ,PT21M48S,123,2021-11-30 20:29:12+00:00,21:48,21.8,0,47,3
Teorema de Stokes | Exercícios resolvidos,SYif6CC10Zs,PT20M52S,3757,2021-09-20 21:43:12+00:00,20:52,20.866666666666667,0,49,77
Integral de superfície vetorial - Live,LuOBdupQ2Jc,PT1H8M39S,412,2021-09-16 23:16:32+00:00,68:39,68.65,0,49,8
Superfície orientável,m7O-lnCZ0nw,PT8M45S,733,2021-09-10 19:01:05+00:00,8:45,8.75,0,49,15
Integral de superfície - Live,tu5TOGkpc84,PT1H23M35S,399,2021-09-08 12:32:15+00:00,83:35,83.58333333333333,0,49,8
Integral de superfície vetorial - fluxo através da esfera,dgFRccHj7Wo,PT23M38S,2388,2021-09-06 11:51:40+00:00,23:38,23.633333333333333,0,49,49
Teorema de Green - Live,JlDYr1Z0Ypw,PT1H2M3S,432,2021-09-03 11:04:07+00:00,62:03,62.05,0,49,9
integral superficie escalar aula1,BuAqkcDJH-E,PT21M40S,601,2021-09-02 21:15:45+00:00,21:40,21.666666666666668,0,49,12
Campos conservativos - exercícios resolvidos,DJ4AZkIEzEI,PT49M21S,886,2021-08-27 10:54:24+00:00,49:21,49.35,0,50,18
Integral de linha de campos vetoriais,yHoglY3hj4s,PT1H16M59S,617,2021-08-20 11:22:56+00:00,76:59,76.98333333333333,0,50,12
Teorema de Green,3VAI-NPtahE,PT11M38S,786,2021-08-16 20:45:47+00:00,11:38,11.633333333333333,0,50,16
Integral de linha de campo conservativo - exemplo difícil,WbrDyskPGvI,PT16M29S,757,2021-08-16 15:07:07+00:00,16:29,16.483333333333334,0,50,15
Integral de linha,M-LA9y2SGfY,PT55M10S,421,2021-08-13 10:58:59+00:00,55:10,55.16666666666666,0,50,8
Curvas Paramétricas &amp; Integral de linha escalar,t5VxJMpK1qk,PT55M10S,349,2021-08-06 10:59:05+00:00,55:10,55.16666666666666,0,50,7
Integral linha vetorial - exemplos,DdDdOmWa7mk,PT13M47S,549,2021-08-01 17:33:19+00:00,13:47,13.783333333333331,0,50,11
Coordenadas esféricas - exercícios resolvidos,ctF5TxTEGJg,PT1H19M7S,3303,2021-07-30 11:29:08+00:00,79:07,79.11666666666666,0,51,65
integral linha escalar aplicações - momento de inércia e centro de massa,Hvlrck-TjxI,PT18M34S,1664,2021-07-29 15:12:06+00:00,18:34,18.566666666666663,0,51,33
Integral de linha escalar,M4zquVqWkdk,PT14M59S,603,2021-07-26 06:35:19+00:00,14:59,14.983333333333333,0,51,12
Parametrização por comprimento de arco,4DOoIlwULk4,PT10M20S,713,2021-07-26 05:57:35+00:00,10:20,10.333333333333334,0,51,14
Comprimento de arco - curvas paramétricas,yb5ZKaFe--A,PT14M21S,645,2021-07-26 05:55:12+00:00,14:21,14.35,0,51,13
Coordenadas cilíndricas &amp; Curvas Paramétricas,fMnXBbjv6dQ,PT1H6M11S,424,2021-07-23 11:09:35+00:00,66:11,66.18333333333334,0,51,8
"Curvas paramétricas - reta, seção cônica (elipse), hélice circular e cicloide",k8ku7to1cZ8,PT14M39S,701,2021-07-21 15:01:55+00:00,14:39,14.65,0,51,14
"Curvas paramétricas - cálculo 2, cálculo 3 e cálculo vetorial",zIBQFs_Ec74,PT15M55S,1037,2021-07-21 14:42:04+00:00,15:55,15.916666666666666,0,51,20
Coordenadas esféricas - Integral Tripla,CFuX9wZigKw,PT18M23S,1196,2021-07-18 00:37:12+00:00,18:23,18.383333333333333,0,51,23
Coordenadas esféricas - exemplos,uzKhztOJOwc,PT15M22S,1631,2021-07-17 19:45:22+00:00,15:22,15.366666666666667,0,51,32
Coordenadas esféricas,boIEESX7nW0,PT12M26S,849,2021-07-17 19:38:32+00:00,12:26,12.433333333333334,0,51,17
Coordenadas cilíndricas,m74lmWvmhRA,PT52M6S,468,2021-07-16 10:55:25+00:00,52:06,52.1,0,51,9
Setor da Elipse - Coordenadas polares,UfkYPrY49MA,PT34M41S,1201,2021-07-13 00:38:04+00:00,34:41,34.68333333333333,0,51,24
Coordenadas cilíndricas - Integral tripla,Ud0XQjvfQ58,PT14M25S,385,2021-07-10 14:43:24+00:00,14:25,14.416666666666666,0,51,8
Integral tripla - Exercício resolvido 3 - Cálculo de quantidade de carga,lBmpyz1xe3c,PT14M32S,714,2021-07-10 01:06:46+00:00,14:32,14.533333333333331,0,51,14
Integral tripla - Exercício resolvido 2 - Cálculo de quantidade massa,0ByVT-TlRYo,PT14M13S,926,2021-07-09 22:52:45+00:00,14:13,14.216666666666669,0,51,18
Volume entre cones elípticos &amp; Integral dupla com mudança de variáveis,KAM9stVmdoE,PT54M55S,493,2021-07-09 10:54:36+00:00,54:55,54.91666666666666,0,51,10
"Integral dupla: jacobiano, mudança de variável em formato de elipse e volumes.",pRVkjf77jT4,PT2H4M51S,1707,2021-07-08 00:17:54+00:00,124:51,124.85,0,51,33
Integral tripla - Exercício resolvido 1,npr34ePcBVo,PT15M42S,1807,2021-07-06 10:42:08+00:00,15:42,15.7,0,51,35
Área &amp; volume entre esfera e cilindro,p48tXUqzvJE,PT49M34S,1904,2021-07-06 00:49:24+00:00,49:34,49.56666666666667,0,51,37
Área de superfície entre cilindros - Integral dupla | Live,vf5Lez77K_s,PT25M33S,1454,2021-07-01 22:33:18+00:00,25:33,25.55,0,51,29
Jacobiano Integral dupla #Área da Elipse,l_rZ38pN53s,PT19M10S,2578,2021-06-30 20:27:44+00:00,19:10,19.166666666666668,0,52,50
"Jacobiano integral dupla - Coordenadas polares, círculo fora da origem",J3vNvJCiUkE,PT12M42S,4107,2021-06-30 19:36:13+00:00,12:42,12.7,0,52,79
Integral dupla - Coordenadas polares | cálculo de volumes,mrB85PPLC5c,PT55M33S,650,2021-06-29 01:07:45+00:00,55:33,55.55,0,52,12
Jacobiano integral dupla | Cálculo de volume,LRpw2cNxYeo,PT21M49S,5297,2021-06-28 23:40:06+00:00,21:49,21.816666666666663,0,52,102
Integral dupla invertendo a ordem de integração | Exercícios resolvidos,LyKSIkCSXAc,PT59M48S,1540,2021-06-25 10:58:18+00:00,59:48,59.8,0,52,30
"Integral dupla | Exercícios resolvidos | Volume entre planos | Lista  2, exercícios 10 e 15",0zZhjRU6qZA,PT44M58S,1051,2021-06-22 00:49:17+00:00,44:58,44.96666666666667,0,52,20
"Aulão de revisão | Integrais de Linha | Integrais de superfície | Green, Gauss &amp; Stokes",_2Ch-ohTxYs,PT2H19M26S,1954,2021-05-10 23:56:19+00:00,139:26,139.43333333333334,0,53,37
Teorema de Stokes,vOtgNedbb8E,PT22M12S,2208,2021-04-27 02:01:43+00:00,22:12,22.2,0,54,41
Integral tripla | lista 7 | Integrais iteradas | Momento de inércia cone | Centro de gravidade,P1ZkbC8wrNA,PT1H16M55S,1275,2021-03-02 21:29:27+00:00,76:55,76.91666666666667,0,55,23
Integral tripla | Aula 02 | Integral iterada | Regiões de integração convenientes,WhexLs8CyGo,PT7M3S,1042,2021-03-02 21:13:10+00:00,7:03,7.05,0,55,19
Integral tripla | Exemplo 1 | Visualização de região entre plano e paraboloide,Hzrjkn6gsDM,PT14M57S,1309,2021-03-02 21:12:57+00:00,14:57,14.95,0,55,24
Integral tripla | coordenadas esféricas | Exemplo 01 | Região situada entre cone e esfera,86i1dQbLqwE,PT13M5S,1520,2021-03-02 21:09:25+00:00,13:05,13.083333333333334,0,55,28
Definição de integral tripla,t-Q8QQE0QxU,PT17M51S,1046,2021-03-02 21:05:53+00:00,17:51,17.85,0,55,19
Integral tripla | coordenadas esféricas,2iDBXtBrGxA,PT11M24S,737,2021-03-02 21:00:43+00:00,11:24,11.4,0,55,13
Integral tripla | coordenadas cilíndricas | Exemplo 1,A3xvteV_ByA,PT10M34S,591,2021-03-02 20:55:03+00:00,10:34,10.566666666666666,0,55,11
Integral tripla | coordenadas cilíndricas,KOD3tw1ovo4,PT13M34S,599,2021-03-02 20:52:31+00:00,13:34,13.566666666666666,0,55,11
Exercícios resolvidos | Área de superfície | Lista 5,3Pl8WhvGpAA,PT1H20M7S,1895,2021-03-01 21:33:05+00:00,80:07,80.11666666666666,0,55,34
integral dupla centro de massa e momento de inércia - exercícios resolvidos,wlWaBwbOFO4,PT1H12M24S,1252,2021-03-01 18:33:15+00:00,72:24,72.4,0,55,23
Integral dupla | Teorema de mudança de variáveis | parte II,RDDZr6aWerA,PT16M37S,466,2021-02-25 16:47:35+00:00,16:37,16.616666666666667,0,56,8
Integral dupla | Teorema de mudança de variáveis | parte I,Fjo6Se4joxM,PT19M54S,897,2021-02-25 16:26:56+00:00,19:54,19.9,0,56,16
Integral dupla | Volume entre elipsoide e cilindro elíptico,fsY_RtklaIs,PT19M13S,1726,2021-02-25 14:33:01+00:00,19:13,19.216666666666665,0,56,31
"Integral dupla | Volume compreendido entre paraboloide, cilindro elíptico e plano",f8PiOi-xev0,PT18M11S,2239,2021-02-25 11:55:20+00:00,18:11,18.183333333333334,0,56,40
Centro de massa | 1/4 de elipse | Integral dupla,NAJXuQRY-tg,PT15M12S,1140,2021-02-15 18:57:16+00:00,15:12,15.2,0,56,20
Integral dupla | Área da esfera,XL72Nharcbc,PT13M37S,2884,2021-02-15 18:53:57+00:00,13:37,13.616666666666667,0,56,52
Área de superfície que são gráfico de funções,JdHs8i3LHyg,PT3M17S,680,2021-02-15 16:25:05+00:00,3:17,3.283333333333333,0,56,12
Área interior à intersecção | Paraboloide Hiperbólico v.s. Cilindro,Vn6i2nWhGvw,PT4M56S,853,2021-02-15 15:07:59+00:00,4:56,4.933333333333334,0,56,15
Área de um paraboloide limitado por planos,oyc-JtqyTN4,PT9M22S,2183,2021-02-15 14:16:18+00:00,9:22,9.366666666666667,0,56,39
Momento de inercia do círculo homogêneo,VlK7JXQqQv8,PT5M51S,2376,2021-02-15 12:28:40+00:00,5:51,5.85,0,56,42
Aplicação integral dupla no momento de inércia,12DMjuLV3sk,PT9M31S,2208,2021-02-15 12:10:22+00:00,9:31,9.516666666666667,0,56,39
Integral dupla aplicações | Introdução,i1ASHSnAmuA,PT25S,2042,2021-02-15 11:31:38+00:00,0:25,0.4166666666666667,0,56,36
Integral dupla aplicações | Momento estático | Centro de massa,VAvBn1vqHoU,PT7M52S,1930,2021-02-15 11:13:01+00:00,7:52,7.866666666666666,0,56,34
Integral dupla aplicações | Integrais com densidades,NoWdvwLVqNI,PT8M22S,2063,2021-02-15 11:01:20+00:00,8:22,8.366666666666667,0,56,37
"Volume entre cone, cilindro e plano | Coordenadas polares | Lista 3, exercício 5",_R234y1CRMQ,PT10M15S,883,2021-02-15 10:06:40+00:00,10:15,10.25,0,56,16
"Integral dupla sobre regiões mais gerais | Lista 2, exercício 14",KlOIv-CozEA,PT7M14S,556,2021-02-13 17:59:17+00:00,7:14,7.233333333333333,0,56,10
"Integral dupla sobre regiões mais gerais | Lista 2, exercício 13",RFr-S7Pw8is,PT14M53S,707,2021-02-13 17:53:03+00:00,14:53,14.883333333333333,0,56,13
Integrais duplas em regiões mais gerais | Exercícios resolvidos,cS4TWV7uBxY,PT55S,911,2021-02-13 12:31:32+00:00,0:55,0.9166666666666666,0,56,16
Integrais duplas sobre retângulos| Exercícios,GmjSzTtZStI,PT1M9S,1852,2021-02-13 11:48:06+00:00,1:09,1.15,0,56,33
"Integral dupla | volume entre cilindros | Lista 2, exercício 12",7uLadr2IbPc,PT11M54S,1760,2021-02-12 16:21:06+00:00,11:54,11.9,0,56,31
"Integral dupla com coordenadas polares | Lista 3, exercício 3",-z2CFrYbgXQ,PT11M43S,516,2021-02-12 16:15:09+00:00,11:43,11.716666666666669,0,56,9
"Integral dupla com coordenadas polares | Lista 3, exercício 1",Vn2DWAS6DBw,PT11M54S,623,2021-02-11 21:30:21+00:00,11:54,11.9,0,56,11
"Integral dupla em regiões gerais | Lista 2, exercício 9",te1ZQ4vcLlA,PT9M49S,954,2021-02-11 21:27:40+00:00,9:49,9.816666666666666,0,56,17
"Integral dupla sobre regiões mais gerais | Lista 2, exercício 5",dNwITVg8hZ0,PT6M33S,962,2021-02-11 21:29:07+00:00,6:33,6.55,0,56,17
"Integral dupla em retângulos | Lista 1, exercício 12",b70xAHNnhZg,PT7M28S,1466,2021-02-11 21:26:15+00:00,7:28,7.466666666666667,0,56,26
"Integral dupla em retângulos | Lista 1, exercício 5",juQFTx8L7lY,PT4M38S,1933,2021-02-11 21:25:50+00:00,4:38,4.633333333333334,0,56,35
Integral de Poisson,Q-wu-JEglSo,PT11M33S,1057,2021-02-11 10:06:47+00:00,11:33,11.55,0,56,19
Volumes de sólido | coordenadas polares | Integral dupla,-_H4Pf_5b_s,PT13M19S,1103,2021-02-10 19:28:02+00:00,13:19,13.316666666666666,0,56,20
Coordenadas polares | Revisão conceitual,mnJd5XppzZ0,PT6M51S,539,2021-02-10 18:49:02+00:00,6:51,6.85,0,56,10
Integral dupla | revisão conceitual,cKAkWY_0BW0,PT16M33S,840,2021-02-10 18:39:42+00:00,16:33,16.55,0,56,15
integral dupla coordenadas polares | integral dupla com raiz quadrada,ymhoXLYx6gA,PT12M5S,1071,2021-02-10 15:30:05+00:00,12:05,12.083333333333334,0,56,19
integral dupla coordenadas polares | exemplo 01,CN29_ffY8q8,PT14M27S,1153,2021-02-09 02:56:48+00:00,14:27,14.45,0,56,21
Coordenadas Polares | Regiões de integração em coordenadas polares,JJT83yyAtQo,PT15M24S,1559,2021-02-09 00:58:55+00:00,15:24,15.4,0,56,28
coordenadas polares  | exercícios resolvidos | coordenadas polares para cartesianas e vice-versa,8DW7YmaEf74,PT12M40S,10445,2021-02-08 23:44:02+00:00,12:40,12.666666666666666,0,56,187
Coordenadas polares | Aula 01,1doo9oTeZNA,PT19M17S,1458,2021-02-08 22:49:48+00:00,19:17,19.28333333333333,0,56,26
Integral dupla cálculo de volume | exercício resolvido,oegQfmbR980,PT15M16S,2014,2021-02-03 15:32:58+00:00,15:16,15.266666666666667,0,56,36
Integral dupla sobre regiões mais gerais | regiões não retangulares | exemplo 02,FcZ6bv-vl7c,PT5M37S,1747,2021-02-03 13:31:26+00:00,5:37,5.616666666666666,0,56,31
Integral dupla triangulo vértices | regiões mais gerais,nDuCkNCB3Cw,PT13M50S,4723,2021-02-03 12:38:32+00:00,13:50,13.833333333333334,0,56,84
Integral dupla sobre regiões mais gerais | regiões não retangulares,FXG3KbJn27c,PT13M22S,2539,2021-02-03 00:46:34+00:00,13:22,13.366666666666667,0,56,45
Integral dupla introdução,tFUG5JQApho,PT11M43S,7686,2021-02-01 20:22:14+00:00,11:43,11.716666666666669,0,56,137
Integral Dupla sobre Retângulos| Exemplo 03,xd_oA7sWV0Y,PT7M56S,2515,2021-02-01 16:28:05+00:00,7:56,7.933333333333334,0,56,45
Integral Dupla sobre Retângulos| Exemplo 02,MyQEqKCyBNg,PT12M10S,3771,2021-02-01 15:31:24+00:00,12:10,12.166666666666666,0,56,67
Cálculo 3 | Curso Completo,NajkIpWWDtk,PT54S,10469,2021-02-01 15:25:14+00:00,0:54,0.9,0,56,187
Redução de dimensionalidade | Análise de Componentes Principais | Interpretação,9-E2D8gTSA8,PT39M19S,1347,2021-01-29 02:27:13+00:00,39:19,39.31666666666667,0,57,24
PCA - Análise de componente principais | Interpretação,ffSpLrAHjmE,PT24M15S,402,2021-01-29 00:35:52+00:00,24:15,24.25,0,57,7
Matriz covariância | Machine Learning,uFAILLxdajk,PT36M6S,1922,2021-01-29 00:03:48+00:00,36:06,36.1,0,57,34
Introdução ao Machine Learning | O que é?,I4hZD3OSw4k,PT1H30M4S,518,2021-01-28 13:18:59+00:00,90:04,90.06666666666666,0,57,9
Construção matemática do SVM - aula 03,1DiR1ma7ebg,PT24M31S,115,2021-01-21 00:57:30+00:00,24:31,24.516666666666666,0,57,2
SVM Núcleos - aula 02,EfP4zJpUP54,PT30M42S,132,2021-01-21 00:56:08+00:00,30:42,30.7,0,57,2
Introdução ao Naive Bayes,PjMaer0Sui8,PT11M30S,463,2021-01-06 14:42:48+00:00,11:30,11.5,0,57,8
Teorema do Divergente e aplicação a campo elétrico produzido por carga pontual,RjuA9hdN-3Y,PT20M26S,671,2020-12-05 19:59:17+00:00,20:26,20.433333333333334,0,58,12
Interpretação do divergente,7OMKFeU_dD0,PT15M7S,523,2020-12-05 18:29:01+00:00,15:07,15.116666666666667,0,58,9
Teorema do Divergente,s0rM42xufng,PT38M35S,729,2020-12-04 22:52:12+00:00,38:35,38.583333333333336,0,58,13
Teorema do divergente: exemplos,YAgJr4_cu88,PT13M31S,1960,2020-12-03 19:59:17+00:00,13:31,13.516666666666667,0,58,34
Teorema de Stokes | Exercício Resolvido: hiperboloide,i5ShP5qdp-Y,PT22M4S,2180,2020-12-02 15:24:58+00:00,22:04,22.066666666666663,0,58,38
Teorema de Stokes | Exercícios resolvidos,c4qxoccjt4Y,PT16M29S,9217,2020-12-01 23:04:02+00:00,16:29,16.483333333333334,0,58,159
Teorema de Stokes e a interpretação do rotacional,m6ZONz-f48A,PT11M34S,1163,2020-12-01 19:35:17+00:00,11:34,11.566666666666666,0,58,20
Integral de superfície de campos vetoriais (exemplos),w7PFgaWsaho,PT22M31S,830,2020-11-20 03:20:46+00:00,22:31,22.516666666666666,0,59,14
Aplicações da integral de superfície escalar,xrKwA8vUtAQ,PT18M37S,755,2020-11-20 01:33:24+00:00,18:37,18.616666666666667,0,59,13
integral de superfície de campos vetoriais,Kg_RNDBXiYs,PT24M47S,366,2020-11-19 23:22:40+00:00,24:47,24.78333333333333,0,59,6
integral de superfície escalar (exemplos),vy-fTjjA180,PT25M26S,1007,2020-11-19 01:31:08+00:00,25:26,25.433333333333334,0,59,17
Integral de superfície escalar,g90BbWg1C0I,PT24M8S,354,2020-11-17 21:56:06+00:00,24:08,24.133333333333333,0,59,6
Superfícies de revolução,LF2QAYNz3EI,PT19M19S,1081,2020-11-14 16:34:42+00:00,19:19,19.316666666666663,0,59,18
Superfície tubular,uvgGeBLWgMc,PT31M27S,321,2020-11-14 13:07:53+00:00,31:27,31.45,0,59,5
Superfícies paramétricas (parte II),orEy8MFG4Vo,PT9M5S,579,2020-11-12 22:06:13+00:00,9:05,9.083333333333334,0,59,10
Superfícies paramétricas,NSJGewylcl4,PT35M16S,905,2020-11-12 19:52:07+00:00,35:16,35.266666666666666,0,59,15
Teorema de Green em regiões com buracos: exemplos,vii7PReuE90,PT24M38S,1368,2020-10-28 22:26:55+00:00,24:38,24.633333333333333,0,60,23
Teorema de Green (versão com buracos ),QdxslorDeUk,PT16M30S,623,2020-10-28 19:30:15+00:00,16:30,16.5,0,60,10
Teorema de Green,7OFFXUa5brs,PT32M36S,307,2020-10-28 02:30:40+00:00,32:36,32.6,0,60,5
Campos conservativos: independência de caminho e rotacional,zf7Q2jFB_W0,PT33M44S,350,2020-10-23 18:20:22+00:00,33:44,33.733333333333334,0,60,6
Teorema fundamental das integrais de linha,DLtrDwM7pP4,PT30M9S,484,2020-10-22 16:00:55+00:00,30:09,30.15,0,60,8
Integrais de linha (relativa ao comprimento de arco),9w5cvVPJ_2k,PT21M58S,688,2020-10-20 09:57:43+00:00,21:58,21.966666666666665,0,60,11
Movimentos no espaço: velocidade e aceleração,W-SAI3p7sTU,PT12M34S,299,2020-10-16 12:14:20+00:00,12:34,12.566666666666666,0,60,5
Componentes da aceleração,_JAIwxRldzU,PT17M53S,452,2020-10-14 21:13:27+00:00,17:53,17.883333333333333,0,60,8
Movimento de projétil com resistência do ar,ISXU0gy7B2g,PT35M42S,2226,2020-10-14 13:26:10+00:00,35:42,35.7,0,60,37
"Resumo - curvatura, vetor tangente, normal e binormal",oivTOmX0J1Y,PT3M28S,1818,2020-10-13 18:28:32+00:00,3:28,3.466666666666667,0,60,30
Vetor normal e binormal,hrExZA53k3E,PT13M31S,533,2020-10-13 18:26:46+00:00,13:31,13.516666666666667,0,60,9
Curvatura,-GnHeao4ONo,PT14M51S,331,2020-10-09 13:46:59+00:00,14:51,14.85,0,60,6
Função comprimento de arco,E00LrE_I29w,PT14M,332,2020-10-08 17:18:48+00:00,14:00,14.0,0,60,6
Comprimento de arco,BXzE3mJa3b8,PT9M52S,348,2020-10-07 12:06:48+00:00,9:52,9.866666666666667,0,60,6
